Date,Time,Open,High,Low,Close,Volume
,,IBM,IBM,IBM,IBM,IBM
2021-04-19,17:00:00,104.63526871546178,104.8075740260868,103.83640659371824,104.25933837890625,8575736
2021-04-20,17:00:00,107.35299132646584,109.46761939734375,107.06320734077677,108.20668029785156,16192708
2021-04-21,17:00:00,108.12835000145898,112.56908758311428,107.85422900872118,112.42810821533203,12456814
2021-04-22,17:00:00,112.54559477942918,113.36012007216713,110.43096661573952,110.65026092529297,7428064
2021-04-23,17:00:00,110.67373656964179,112.47509230072727,110.39179034667342,111.5509262084961,4765576
2021-04-26,17:00:00,111.54307801688482,112.49075724780128,110.80688030906028,110.87735748291016,4927497
2021-04-27,17:00:00,110.97134175861186,111.65272523810832,110.23513159102588,111.22196197509766,4062664
2021-04-28,17:00:00,111.9346957864405,112.3106324432002,111.29247587297085,111.99736022949219,3941433
2021-04-29,17:00:00,112.88235319525003,116.49290234535664,111.9816753433156,112.968505859375,4554179
2021-04-30,17:00:00,112.5455820651287,112.64739771521882,110.07850573587349,111.12016296386719,9280321
2021-05-03,17:00:00,112.6317552861588,114.15116507269963,112.42812394881543,113.36796569824219,5997241
2021-05-04,17:00:00,113.10165589012183,114.80902112580286,113.03899145459472,114.15113830566406,6642623
2021-05-05,17:00:00,114.29993545932263,114.29993545932263,113.54023704385345,113.73603057861328,5229895
2021-05-06,17:00:00,113.76736508499734,116.31276873066308,113.70471314923236,116.24227905273438,7848661
2021-05-07,17:00:00,115.56120609654651,115.73543662802653,114.49207224250021,115.19690704345703,7325661
2021-05-10,17:00:00,115.46617923750357,117.50941924763434,115.46617923750357,115.75920104980469,7304636
2021-05-11,17:00:00,114.82470406239537,114.98309661581189,113.16952652730382,114.21489715576172,7454214
2021-05-12,17:00:00,113.91394820030212,114.15944335483215,111.77568060112452,111.90239715576172,6233742
2021-05-13,17:00:00,112.02120237031481,114.75342651007719,111.88657312424897,114.17530822753906,4807207
2021-05-14,17:00:00,114.91972122769648,115.37906085351104,114.00897993107594,114.57918548583984,2873780
2021-05-17,17:00:00,114.389126834258,115.46617343723146,114.30201156254147,114.91973114013672,4471755
2021-05-18,17:00:00,114.65840572735584,115.0702314924233,113.43089166937737,113.96942138671875,4000009
2021-05-19,17:00:00,112.71019596832475,113.40710548545027,111.60146076919206,113.3991928100586,4498532
2021-05-20,17:00:00,113.34375137389166,114.76134632761975,112.58347726775943,113.94563293457031,4301675
2021-05-21,17:00:00,114.2624149423399,115.38697544059826,114.2624149423399,114.62670135498047,4219041
2021-05-24,17:00:00,114.88014148978814,115.14147466262348,114.183219322076,114.61087036132812,3449290
2021-05-25,17:00:00,114.76926250390656,114.83261446799804,113.40710679554303,113.87435913085938,4118311
2021-05-26,17:00:00,113.64471558539762,114.03276537213293,113.28041646801982,113.54967498779297,3225655
2021-05-27,17:00:00,113.89811706542969,114.65046584372992,113.74764983778086,113.89811706542969,5889294
2021-05-28,17:00:00,114.20694870621224,114.30197662446169,113.63674327655673,113.83472442626953,2651192
2021-06-01,17:00:00,114.83260175736149,115.48992255225116,113.84267054775098,114.19113159179688,2528705
2021-06-02,17:00:00,114.53168430263328,115.42658770931114,114.12778391622975,115.40282440185547,2915097
2021-06-03,17:00:00,114.76134749402713,115.52953428320875,114.07235065834902,115.2681884765625,4320608
2021-06-04,17:00:00,115.62454956271816,116.85207586793493,115.43448105507206,116.7491226196289,3261323
2021-06-07,17:00:00,116.85209244563167,117.79450980305162,116.55114533247398,117.22430419921875,3621984
2021-06-08,17:00:00,117.30350597978502,118.95075817492287,117.30350597978502,118.05585479736328,5313785
2021-06-09,17:00:00,118.02418399097013,119.63976027475172,117.85786611701268,119.3229751586914,5547252
2021-06-10,17:00:00,119.95653498135657,121.04150695996097,118.60230449713411,119.22002410888672,4977391
2021-06-11,17:00:00,119.13290192593757,120.25747513960607,119.08538795241668,119.80606079101562,3596462
2021-06-14,17:00:00,119.35464858146501,119.60806908484162,117.7311596566463,118.81613159179688,3498661
2021-06-15,17:00:00,118.67357722302934,118.72109119747961,117.68363323500192,118.28551483154297,2628912
2021-06-16,17:00:00,118.60229823688559,118.60229823688559,116.59074694682906,117.07383728027344,4057329
2021-06-17,17:00:00,116.85207613287683,117.25596381250617,115.0543443006457,115.30777740478516,4568300
